time,lift,roll,pitch,foot1,foot2,foot3,foot4
0.003000,28.317770,-1.154459,0.042306,133,146,119,142
0.014000,28.317850,-1.156096,0.041991,133,145,120,142
0.024000,28.317865,-1.157704,0.043161,134,145,119,141
0.034000,28.317892,-1.156321,0.043765,134,146,120,141
0.045000,28.318001,-1.158213,0.044866,134,146,119,141
0.054000,28.317938,-1.159094,0.044341,133,146,119,141
0.064000,28.317940,-1.160671,0.044605,134,145,119,141
0.074000,28.317833,-1.159159,0.044953,134,145,119,141
0.085000,28.317801,-1.160755,0.045618,134,146,120,141
0.095000,28.317923,-1.159384,0.044939,133,146,120,141
0.105000,28.317785,-1.161803,0.045508,134,145,120,142
0.115000,28.317850,-1.159083,0.046495,134,146,120,141
0.125000,28.317896,-1.160146,0.045686,134,146,119,142
0.135000,28.317720,-1.161433,0.047060,134,146,120,142
0.145000,28.317776,-1.159983,0.046131,134,146,120,142
0.155000,28.317780,-1.160340,0.046734,133,146,120,141
0.165000,28.317764,-1.160185,0.047338,134,146,119,141
0.176000,28.317673,-1.161743,0.048544,134,145,119,141
0.186000,28.317892,-1.160097,0.048151,134,146,119,142
0.196000,28.317770,-1.161814,0.047589,134,146,119,142
0.206000,28.317694,-1.159246,0.046798,134,146,119,142
0.216000,28.317503,-1.164012,0.046729,134,145,119,142
0.226000,28.317791,-1.163354,0.047131,134,145,119,142
0.236000,28.317842,-1.161108,0.046765,134,146,120,141
0.246000,28.317881,-1.159446,0.046997,134,146,119,142
0.256000,28.317776,-1.160160,0.047479,134,146,119,142
0.266000,28.317940,-1.158807,0.046974,134,146,119,141
0.276000,28.317646,-1.159990,0.048384,134,146,119,142
0.287000,28.317823,-1.159401,0.047560,135,146,120,142
0.297000,28.317863,-1.156868,0.047648,134,146,120,141
0.307000,28.317680,-1.158179,0.048114,134,146,120,141
0.317000,28.317705,-1.159087,0.049319,134,146,120,142
0.327000,28.317829,-1.158193,0.048922,133,146,120,141
0.337000,28.317595,-1.158110,0.049848,134,145,119,142
0.347000,28.317583,-1.159783,0.051214,134,146,119,142
0.357000,28.317774,-1.159155,0.050977,134,146,119,142
0.367000,28.317705,-1.156908,0.051100,134,146,119,142
0.378000,28.317535,-1.157797,0.050512,133,145,119,142
0.388000,28.317631,-1.157969,0.051447,134,146,120,142
0.398000,28.317711,-1.158668,0.051148,134,146,119,142
0.408000,28.317648,-1.158840,0.049550,134,146,120,142
0.418000,28.317764,-1.157995,0.049311,134,145,119,142
0.428000,28.317669,-1.158309,0.048067,134,146,119,142
0.438000,28.317619,-1.158303,0.048129,134,146,119,142
0.448000,28.317686,-1.159565,0.048245,134,145,119,142
0.459000,28.317907,-1.158361,0.047754,134,146,119,142
0.469000,28.317621,-1.157676,0.049793,134,146,119,141
0.479000,28.317801,-1.159482,0.050389,134,146,120,142
0.489000,28.317734,-1.159790,0.049624,134,145,120,142
0.499000,28.317570,-1.158337,0.050636,134,146,119,142
0.509000,28.317747,-1.157380,0.049816,134,146,119,142
0.519000,28.317795,-1.157329,0.049815,134,145,119,141
0.529000,28.317638,-1.158724,0.049306,134,146,119,142
0.539000,28.317802,-1.158487,0.049559,134,146,119,142
0.550000,28.317890,-1.158579,0.050395,134,145,119,142
0.559000,28.317680,-1.159261,0.050895,134,145,119,142
0.570000,28.317707,-1.157916,0.051242,134,146,119,142
0.580000,28.317589,-1.156557,0.050313,134,146,119,142
0.590000,28.317791,-1.153929,0.050017,133,146,119,142
0.600000,28.317642,-1.156811,0.051957,134,145,120,142
0.610000,28.317701,-1.155831,0.052407,134,146,120,142
0.620000,28.317728,-1.156360,0.054123,134,146,120,141
0.630000,28.317610,-1.157822,0.053287,134,145,119,142
0.640000,28.317669,-1.156934,0.053789,134,146,119,142
0.651000,28.317791,-1.157714,0.054786,134,145,119,141
0.661000,28.317701,-1.157170,0.054384,134,146,120,141
0.671000,28.317551,-1.158489,0.054254,134,145,120,142
0.681000,28.317619,-1.156991,0.054188,134,145,119,142
0.691000,28.317621,-1.158574,0.053906,133,145,119,142
0.701000,28.317741,-1.158498,0.054550,134,146,120,141
0.711000,28.317659,-1.157952,0.054636,134,146,119,142
0.721000,28.317568,-1.159571,0.054953,134,146,119,142
0.731000,28.317564,-1.159873,0.053438,134,145,119,142
0.742000,28.317715,-1.160490,0.054184,134,145,119,141
0.752000,28.317749,-1.158934,0.052541,134,146,119,141
0.762000,28.317663,-1.160779,0.053288,134,146,119,142
0.772000,28.317675,-1.161075,0.054492,134,146,120,142
0.782000,28.317654,-1.162548,0.056092,134,146,120,142
0.792000,28.317558,-1.160953,0.056221,134,145,119,142
0.802000,28.317720,-1.162442,0.056257,135,146,120,142
0.812000,28.317524,-1.163198,0.058279,134,146,120,142
0.823000,28.317430,-1.165874,0.058320,134,145,120,142
0.833000,28.317520,-1.166943,0.057561,134,146,120,142
0.843000,28.317509,-1.165325,0.057468,134,146,120,142
0.853000,28.317585,-1.167364,0.056360,134,146,120,142
0.863000,28.317595,-1.167178,0.056066,133,145,119,142
0.873000,28.317516,-1.167053,0.056329,134,145,119,142
0.883000,28.317516,-1.166610,0.057071,134,146,119,142
0.893000,28.317514,-1.166884,0.056002,134,145,119,141
0.903000,28.317379,-1.165008,0.057474,134,146,119,142
0.914000,28.317503,-1.163215,0.055181,135,146,119,142
0.924000,28.317463,-1.163564,0.056378,135,146,119,142
0.934000,28.317612,-1.163909,0.055849,134,146,120,142
0.944000,28.317663,-1.163692,0.054813,135,146,119,142
0.954000,28.317478,-1.165798,0.057025,135,146,119,142
0.964000,28.317440,-1.165082,0.056696,134,146,119,141
0.974000,28.317478,-1.163990,0.055855,134,146,119,141
0.984000,28.317591,-1.162131,0.054990,134,145,119,141
0.994000,28.317516,-1.161795,0.056923,134,146,119,142
1.005000,28.358734,-1.162987,0.056312,134,145,120,142
1.015000,28.395840,-1.161728,0.048163,135,124,100,143
1.025000,28.407495,-1.144814,0.027536,143,53,39,153
1.035000,28.441862,-1.130052,0.012696,166,20,18,187
1.045000,28.445507,-1.123127,0.084365,201,12,14,203
1.055000,28.430971,-1.172198,0.127594,243,9,11,235
1.065000,28.406651,-1.208632,0.153328,256,9,12,256
1.075000,28.390980,-1.223316,0.204687,273,9,12,262
1.085000,28.366398,-1.281189,0.271895,282,10,12,248
1.096000,28.353796,-1.369463,0.306676,275,1,2,234
1.106000,28.356344,-1.432078,0.304357,259,0,-1,227
1.116000,28.359894,-1.436143,0.285649,239,-1,-1,216
1.126000,28.367481,-1.470451,0.271814,220,0,-1,206
1.136000,28.384834,-1.507246,0.274320,213,-1,0,196
1.146000,28.412163,-1.559677,0.272381,222,0,-1,189
1.156000,28.423956,-1.634406,0.240780,219,0,-1,190
1.166000,28.437401,-1.674102,0.200264,216,0,0,195
1.176000,28.445217,-1.731336,0.173759,212,0,0,202
1.186000,28.444603,-1.790789,0.169212,206,0,-1,209
1.197000,28.127125,-1.829814,0.180085,205,161,68,215
1.206000,28.164425,-1.858405,0.138146,126,164,154,151
1.217000,28.285063,-1.915909,0.148291,13,206,194,27
1.227000,28.371635,-2.060961,0.174360,-8,223,246,-6
1.237000,28.364069,-2.178978,0.232525,-11,243,223,-12
1.247000,28.376478,-2.198210,0.243586,-11,252,226,-13
1.257000,28.368954,-2.202665,0.190255,-11,253,239,-12
1.267000,28.358740,-2.228803,0.145014,-11,260,251,-13
1.277000,28.360275,-2.256584,0.150460,-10,275,256,-12
1.287000,28.364334,-2.235362,0.182668,-5,290,257,-6
1.297000,28.362783,-2.209731,0.235023,0,292,247,-1
1.308000,28.364452,-2.280221,0.258562,0,290,227,0
1.318000,28.368687,-2.383011,0.239076,0,282,208,0
1.328000,28.380188,-2.417669,0.201214,0,264,197,0
1.338000,28.400084,-2.461551,0.143100,1,248,199,0
1.348000,28.418219,-2.521134,0.079395,1,236,208,1
1.358000,28.442562,-2.622003,0.030991,1,235,223,2
1.368000,28.456694,-2.785237,-0.037302,2,241,240,2
1.378000,28.455465,-2.852576,-0.078485,2,246,253,2
1.388000,28.455421,-2.889536,-0.090313,3,256,258,29
