time,lift,roll,pitch
0.004000,28.448099,-3.076144,-1.008538
0.015000,28.448608,-3.132419,-0.998027
0.025000,28.449982,-3.150266,-1.009250
0.035000,28.450882,-3.161022,-1.028859
0.046000,28.452734,-3.150787,-1.044251
0.055000,28.453636,-3.161930,-1.065255
0.065000,28.453466,-3.201190,-1.063467
0.075000,28.341681,-3.253939,-1.029776
0.085000,28.247297,-3.247127,-1.008359
0.095000,28.350237,-3.183151,-1.005325
0.105000,28.436893,-3.178917,-1.065187
0.115000,28.462723,-3.215612,-1.101516
0.125000,28.467148,-3.190883,-1.115401
0.135000,28.466902,-3.119756,-1.144907
0.145000,28.460052,-2.996916,-1.137078
0.156000,28.454903,-2.902675,-1.062268
0.166000,28.449240,-2.866579,-0.965172
0.176000,28.443226,-2.845364,-0.899661
0.186000,28.443197,-2.857767,-0.888317
0.196000,28.446167,-2.913716,-0.930421
0.206000,28.453085,-2.999199,-1.013849
0.216000,28.462711,-3.102566,-1.100471
0.226000,28.472424,-3.210974,-1.173174
0.236000,28.475735,-3.276543,-1.234066
0.246000,28.479008,-3.245223,-1.300225
0.257000,28.478056,-3.098261,-1.343232
0.267000,28.474030,-2.835467,-1.350950
0.277000,28.170309,-2.487350,-1.308408
0.287000,28.288313,-2.362086,-1.215450
0.297000,28.426107,-2.348293,-1.115166
0.307000,28.473461,-2.373424,-1.080626
0.317000,28.479715,-2.535628,-1.155000
0.327000,28.480391,-2.583138,-1.267294
0.337000,28.464846,-2.513056,-1.310834
0.347000,28.463224,-2.473966,-1.252476
0.358000,28.467178,-2.539833,-1.138467
0.368000,28.454098,-2.658879,-1.022782
0.378000,28.432930,-2.771894,-0.954811
0.388000,28.446392,-2.873222,-0.933704
0.398000,28.449844,-2.950144,-0.929283
0.408000,28.450325,-3.001171,-0.940761
0.418000,28.453695,-3.006397,-0.958684
0.428000,28.458488,-2.998353,-0.990878
0.438000,28.461229,-3.038569,-1.026365
0.448000,28.461901,-3.052018,-1.048617
0.458000,28.464314,-3.098354,-1.038134
0.468000,28.189999,-3.111293,-0.997172
0.479000,28.300308,-3.001635,-1.007108
0.489000,28.411461,-2.972767,-1.032760
0.499000,28.471378,-3.064625,-1.078839
0.509000,28.461699,-3.099693,-1.069713
0.519000,28.470833,-3.109657,-1.085105
0.529000,28.467348,-3.018510,-1.099654
0.540000,28.459894,-2.912414,-1.067129
0.550000,28.454157,-2.876181,-0.994617
0.560000,28.452980,-2.870578,-0.932777
0.570000,28.455389,-2.898865,-0.918290
0.580000,28.457817,-2.951510,-0.958316
0.590000,28.465223,-3.029413,-1.038868
0.600000,28.475901,-3.107405,-1.135825
0.610000,28.483162,-3.188938,-1.230142
0.620000,28.485638,-3.167895,-1.299858
0.630000,28.488180,-3.007034,-1.366516
0.640000,28.484154,-2.746468,-1.422324
0.650000,28.481478,-2.369983,-1.431303
0.660000,28.375340,-1.936003,-1.372905
0.671000,28.210297,-1.673991,-1.272858
0.681000,28.359476,-1.687059,-1.118052
0.691000,28.453108,-1.769025,-1.073929
0.702000,28.476746,-1.908478,-1.099135
0.711000,28.481487,-2.082867,-1.211532
0.721000,28.483845,-2.134315,-1.332520
0.731000,28.489090,-2.015261,-1.332063
0.741000,28.496498,-1.966052,-1.211109
0.751000,28.512329,-2.072335,-1.061025
0.761000,28.495794,-2.278980,-0.954004
0.771000,28.473312,-2.480688,-0.947635
0.782000,28.487726,-2.610528,-0.960864
0.792000,28.504858,-2.717380,-0.947488
0.802000,28.506889,-2.732621,-0.969043
0.812000,28.509308,-2.740798,-1.013924
0.822000,28.512144,-2.752964,-1.081294
0.832000,28.514460,-2.740584,-1.129610
0.842000,28.518829,-2.731226,-1.109984
0.852000,28.403606,-2.719464,-1.040505
0.862000,28.279623,-2.643939,-1.010645
0.873000,28.420019,-2.626337,-1.030878
0.883000,28.515614,-2.731767,-1.110575
0.893000,28.529322,-2.878794,-1.152249
0.903000,28.535923,-2.996855,-1.146069
0.913000,28.534195,-3.048231,-1.161740
0.923000,28.526199,-3.005248,-1.160412
0.933000,28.523232,-2.977468,-1.099647
0.943000,28.521950,-2.977722,-1.031556
0.953000,28.521862,-2.954473,-0.995530
0.963000,28.521606,-2.973876,-1.004660
0.973000,28.524086,-3.037923,-1.060196
0.983000,28.534105,-3.102434,-1.166600
0.994000,28.536240,-3.108117,-1.256226
1.004000,28.542227,-3.112843,-1.329330
1.014000,28.548292,-3.036775,-1.383907
1.024000,28.548941,-2.821044,-1.436413
1.034000,28.543871,-2.492501,-1.462374
1.044000,28.542244,-2.127173,-1.444584
1.054000,28.200371,-1.752143,-1.372929
1.064000,28.314377,-1.692865,-1.240143
1.074000,28.458563,-1.776956,-1.120245
1.084000,28.506386,-1.880596,-1.086121
1.094000,28.509098,-2.066502,-1.119628
1.104000,28.515810,-2.219695,-1.231836
1.115000,28.515842,-2.222963,-1.303116
1.125000,28.511629,-2.124357,-1.265703
1.135000,28.519037,-2.130238,-1.157750
1.145000,28.525200,-2.268032,-1.030383
1.155000,28.491072,-2.447910,-0.948590
1.165000,28.494320,-2.562480,-0.969438
1.175000,28.500834,-2.630478,-0.984148
1.187000,28.503571,-2.677827,-0.980612
1.195000,28.506577,-2.640299,-1.008657
1.206000,28.510601,-2.628046,-1.052801
1.216000,28.511547,-2.641758,-1.112353
1.226000,28.513252,-2.636364,-1.154353
