time,lift,roll,pitch
2951709096,7.542592,-2.837149,-1.071719
2951709106,7.542592,-2.833208,-1.071948
2951709116,7.542592,-2.835286,-1.070594
2951709126,7.542592,-2.835906,-1.071878
2951709137,7.542592,-2.833626,-1.072620
2951709146,7.542592,-2.835167,-1.071559
2951709157,7.542592,-2.834893,-1.071573
2951709167,7.542592,-2.835741,-1.071233
2951709177,7.542592,-2.836673,-1.072359
2951709187,7.542592,-2.837880,-1.070429
2951709197,7.542592,-2.838078,-1.071624
2951709207,7.542592,-2.838858,-1.071378
2951709217,7.542592,-2.837970,-1.071511
2951709227,7.542592,-2.838742,-1.072524
2951709237,7.542592,-2.838296,-1.070600
2951709247,7.542592,-2.838811,-1.068848
2951709257,7.542592,-2.840709,-1.069099
2951709268,7.542592,-2.841049,-1.068863
2951709278,7.542592,-2.840230,-1.068866
2951709288,7.542592,-2.840451,-1.069004
2951709298,7.542592,-2.842398,-1.070179
2951709308,7.542592,-2.840460,-1.068233
2951709318,7.542592,-2.843069,-1.068532
2951709328,7.542592,-2.842537,-1.067898
2951709339,7.542592,-2.844157,-1.069511
2951709348,7.542592,-2.845862,-1.070080
2951709358,7.542592,-2.847893,-1.068685
2951709368,7.542592,-2.849110,-1.069541
2951709379,7.542592,-2.849622,-1.068238
2951709389,7.542592,-2.848572,-1.068679
2951709399,7.542592,-2.849344,-1.069650
2951709409,7.542592,-2.850339,-1.069364
2951709419,7.542592,-2.850376,-1.070129
2951709429,7.542592,-2.850230,-1.069989
2951709439,7.542592,-2.847853,-1.071701
2951709449,7.542592,-2.848547,-1.071255
2951709459,7.542592,-2.847422,-1.071568
2951709469,7.542592,-2.846418,-1.070993
2951709479,7.542592,-2.846701,-1.070294
2951709489,7.542592,-2.845430,-1.071221
2951709499,7.542592,-2.844208,-1.072635
2951709509,7.542592,-2.843278,-1.073459
2951709519,7.542592,-2.844449,-1.073110
2951709529,7.542592,-2.844261,-1.074109
2951709539,7.542592,-2.843576,-1.075357
2951709550,7.542592,-2.841960,-1.077136
2951709560,7.542592,-2.844091,-1.076144
2951709570,7.542592,-2.844943,-1.075940
2951709580,7.542592,-2.845483,-1.078469
2951709590,7.542592,-2.845660,-1.077800
2951709600,7.542592,-2.846038,-1.077186
2951709610,7.542592,-2.846828,-1.078232
2951709620,7.542592,-2.846460,-1.078350
2951709630,7.542592,-2.846657,-1.076851
2951709641,7.542592,-2.847445,-1.076629
2951709650,7.542592,-2.847281,-1.077924
2951709661,7.542592,-2.846060,-1.075823
2951709671,7.542592,-2.848017,-1.074951
2951709681,7.542592,-2.847511,-1.076409
2951709691,7.542592,-2.845803,-1.078105
2951709701,7.542592,-2.847565,-1.079396
2951709713,7.542592,-2.846829,-1.079590
2951709721,7.542592,-2.846306,-1.078094
2951709731,7.542592,-2.845266,-1.078406
2951709741,7.542592,-2.846555,-1.079328
2951709751,7.542592,-2.846012,-1.079514
2951709762,7.542592,-2.844641,-1.079950
2951709772,7.542592,-2.844228,-1.079320
2951709782,7.542592,-2.843279,-1.080287
2951709792,7.542592,-2.842602,-1.080938
2951709802,7.542592,-2.841932,-1.082563
2951709812,7.542592,-2.843102,-1.083388
2951709822,7.542592,-2.842868,-1.082231
2951709832,7.542592,-2.841309,-1.081533
2951709842,7.542592,-2.840275,-1.082149
2951709852,7.542592,-2.840396,-1.082093
2951709863,7.542592,-2.840415,-1.081074
2951709874,7.542592,-2.839812,-1.080977
2951709883,7.542592,-2.840024,-1.081470
2951709893,7.542592,-2.841019,-1.081912
2951709903,7.542592,-2.840796,-1.082881
2951709913,7.542592,-2.839852,-1.082331
2951709923,7.542592,-2.841715,-1.081955
2951709933,7.542592,-2.842010,-1.081855
2951709943,7.542592,-2.841956,-1.082798
2951709953,7.542592,-2.841763,-1.083191
2951709963,7.542592,-2.842980,-1.082073
2951709974,7.542592,-2.840621,-1.082132
2951709984,7.542592,-2.839992,-1.081660
2951709994,7.542592,-2.840537,-1.081194
2951710004,7.542592,-2.841329,-1.080382
2951710014,7.542592,-2.843213,-1.078439
2951710024,7.542592,-2.844849,-1.079313
2951710034,7.542592,-2.846453,-1.080631
2951710044,7.542592,-2.846760,-1.081403
2951710054,7.542592,-2.845884,-1.082456
2951710064,7.542592,-2.844674,-1.083675
2951710075,7.542592,-2.844031,-1.082867
2951710084,7.542592,-2.843413,-1.082307
2951710095,7.542592,-2.843163,-1.082677
2951710105,7.542592,-2.844852,-1.082943
2951710115,7.542592,-2.848168,-1.08
